Crop,Crop_Year,Area,Production
Maize,1997,5644113.0,9797054.0
Maize,1998,5622919.0,10038590.0
Maize,1999,6253374.0,11245483.0
Maize,2000,6557280.0,11977311.2
Maize,2001,6348801.0,12669242.5
Maize,2002,6564168.33,11021981.250000002
Maize,2003,7127699.91,14638847.57
Maize,2004,7258644.15,13823196.470000003
Maize,2005,6982198.359999999,13775161.560000008
Maize,2006,7356970.78,14245663.500000007
Maize,2007,7266855.31,17585721.599999994
Maize,2008,7433947.0,18331296.799999993
Maize,2009,7371903.0,15260107.999999996
Maize,2010,8056623.54,22062416.22
Maize,2011,6888187.0,19307949.4
Maize,2012,6188793.0,17253317.499999993
Maize,2013,6876092.0,23348083.999999996
Maize,2014,5853562.0,16781092.1
Maize,2015,94542.0,179286.9
Mango,2002,625854.0,2779266.0
Mango,2003,835165.0,3100202.0
Mango,2010,213.0,2660.0
Mango,2011,206.0,401.0
Mango,2012,312443.0,2406212.0
Mango,2013,337770.0,2488087.0
Mango,2014,268695.0,1993708.0
Masoor,1997,544987.0,391681.0
Masoor,1998,647759.0,483634.0
Masoor,1999,731933.0,426268.0
Masoor,2000,961727.0,693305.5
Masoor,2001,959640.0,731059.63
Masoor,2002,884669.66,670348.15
Masoor,2003,915364.61,805034.08
Masoor,2004,875454.22,492046.93
Masoor,2005,884456.21,508988.18000000005
Masoor,2006,1464987.51,905346.0
Masoor,2007,1330943.0899999999,803037.28
Masoor,2008,1350829.0,937968.0
Masoor,2009,1426535.0,1007316.0
Masoor,2010,1618613.0,899177.0
Masoor,2011,1453770.0,972728.0
Masoor,2012,1290496.0,1017448.0
Masoor,2013,1209548.0,926025.0
Masoor,2014,724168.0,481973.1
Mesta,1997,125033.0,830152.0
Mesta,1998,110748.0,802893.0
Mesta,1999,77350.0,432914.0
Mesta,2000,160018.0,1175429.0
Mesta,2001,119488.0,919744.0
Mesta,2002,123232.0,858588.0
Mesta,2003,108804.0,773326.0
Mesta,2004,92520.0,724842.0
Mesta,2005,88549.0,782239.0
Mesta,2006,103858.0,852100.0
Mesta,2007,100889.0,846917.0
Mesta,2008,76724.0,608957.0
Mesta,2009,60846.0,445922.0
Mesta,2010,63594.0,506775.0
Mesta,2011,64894.0,570717.0
Mesta,2012,52572.0,311272.0
Mesta,2013,47172.0,509601.0
Mesta,2014,45074.0,441154.0
Moong(Green Gram),1997,1531709.0,574384.0
Moong(Green Gram),1998,2774409.0,1009451.0
Moong(Green Gram),1999,3101550.0,1200621.0
Moong(Green Gram),2000,2975229.0,1026199.1000000002
Moong(Green Gram),2001,2808894.27,963747.2000000001
Moong(Green Gram),2002,2942257.0,865919.6999999998
Moong(Green Gram),2003,3442463.0,1661228.8000000003
