districtid,timeid,statemean,statestdev
147,20,122.58,290.92
147,21,164.28,416.14
147,22,201.47,549.29
147,23,176.25,464.86
147,24,196.40,466.33
148,1,0.07,0.25
148,2,0.12,0.33
148,3,0.34,0.48
148,4,0.46,0.50
148,5,0.47,0.58
148,6,0.54,0.60
148,7,2.57,5.12
148,8,2.89,5.74
148,9,3.32,4.45
148,10,5.96,8.18
148,11,4.65,6.59
148,12,5.85,5.96
148,13,8.08,10.07
148,14,7.95,10.77
148,15,9.01,16.90
148,16,10.53,16.84
148,17,19.09,32.14
148,18,26.47,35.01
148,19,37.82,56.05
148,20,47.89,58.09
148,21,61.58,80.44
148,22,63.27,91.73
148,23,69.34,101.03
148,24,75.53,98.12
149,1,0.00,0.00
149,2,0.00,0.00
149,3,0.04,0.19
149,4,0.04,0.19
149,5,0.04,0.19
149,6,0.04,0.19
149,7,0.04,0.19
