districtid,timeid,neighbormean,neighborstdev
140,13,3.67,3.06
140,14,2.67,2.08
140,15,4.33,5.77
140,16,1.33,0.58
140,17,1.67,1.15
140,18,1.67,1.15
140,19,2.00,1.00
140,20,4.00,3.00
140,21,1.67,1.15
140,22,7.67,6.11
140,23,9.33,8.39
140,24,23.33,26.73
141,1,0.33,0.52
141,2,0.67,0.52
141,3,0.50,0.55
141,4,0.83,0.41
141,5,1.00,0.00
141,6,0.83,0.41
141,7,3.00,3.03
141,8,6.33,8.82
141,9,5.00,10.81
141,10,6.67,5.75
141,11,8.33,8.45
141,12,7.33,6.47
141,13,11.50,10.13
141,14,25.67,24.39
141,15,31.83,28.72
141,16,39.33,37.56
141,17,54.83,61.62
141,18,46.00,46.39
141,19,46.33,30.76
141,20,58.00,63.16
141,21,67.33,41.17
141,22,59.67,46.26
141,23,54.83,25.26
141,24,82.67,37.69
142,1,0.20,0.45
142,2,0.00,0.00
142,3,0.00,0.00
142,4,0.60,0.55
142,5,0.40,0.55
142,6,0.80,1.30
142,7,0.40,0.55
142,8,1.00,0.71
142,9,4.00,3.39
142,10,14.00,22.47
142,11,2.40,1.95
142,12,2.40,1.67
142,13,4.80,7.95
142,14,3.60,2.30
142,15,4.20,4.32
142,16,5.00,6.24
142,17,7.20,5.02
142,18,6.00,6.82
142,19,26.00,21.64
142,20,32.00,34.50
142,21,46.60,31.75
142,22,36.40,23.92
142,23,67.60,47.48
142,24,61.80,32.57
143,1,0.00,0.00
143,2,0.00,0.00
143,3,0.33,0.52
143,4,0.00,0.00
143,5,0.00,0.00
143,6,0.00,0.00
143,7,0.00,0.00
143,8,0.00,0.00
143,9,0.17,0.41
143,10,2.17,1.47
143,11,9.33,9.22
143,12,6.17,7.96
143,13,4.67,7.61
143,14,6.50,4.76
143,15,1.67,2.07
143,16,0.50,1.22
143,17,1.17,2.86
143,18,131.67,153.90
143,19,82.50,75.53
143,20,146.67,105.03
143,21,202.50,101.74
143,22,292.17,200.02
143,23,17.33,42.46
143,24,20.33,49.81
144,1,0.00,0.00
144,2,0.29,0.49
144,3,0.14,0.38
144,4,0.14,0.38
144,5,0.14,0.38
144,6,0.86,2.27
144,7,1.14,2.61
144,8,2.57,4.72
144,9,2.86,6.69
144,10,4.86,4.30
144,11,8.43,16.28
144,12,9.57,20.95
144,13,3.57,4.58
144,14,21.43,32.07
144,15,1.71,1.38
144,16,8.14,17.62
144,17,10.71,16.46
144,18,12.29,27.67
144,19,33.14,75.48
144,20,57.14,130.35
144,21,89.43,187.88
144,22,149.86,355.63
144,23,140.00,329.08
144,24,235.86,514.08
145,1,0.00,0.00
145,2,0.00,0.00
145,3,0.17,0.41
145,4,0.17,0.41
145,5,0.00,0.00
145,6,0.00,0.00
145,7,0.00,0.00
145,8,0.00,0.00
145,9,0.17,0.41
145,10,6.83,11.21
145,11,3.33,2.34
145,12,3.17,2.64
145,13,4.67,5.09
145,14,2.67,1.75
145,15,2.50,2.07
